Name,Ingredients,Procedure,Serving,Suitable for Diabetic Patients to Eat,Calorie of the food,Approximate time for cooking(Minute)
Kalakand,"Milk, Sugar, Cardamom powder, Nuts","Kalakand is a traditional Indian sweet made from paneer (Indian cottage cheese) and condensed milk, flavored with cardamom and garnished with nuts. It has a rich, creamy texture and is often served as a dessert during festivals and celebrations. Here's a simple recipe to make Kalakand at home:

### Ingredients:
- 1 liter full-fat milk
- 1 can (400 grams) sweetened condensed milk
- 1/2 teaspoon cardamom powder
- A pinch of saffron strands (optional)
- Chopped nuts (almonds, pistachios) for garnish

### Instructions:

1. **Prepare the Paneer (Indian Cottage Cheese):**
   - In a heavy-bottomed pan, bring the milk to a boil over medium heat, stirring occasionally to prevent it from sticking to the bottom.
   - Once the milk comes to a boil, reduce the heat to low and add lemon juice or vinegar gradually while stirring continuously.
   - As the milk curdles, switch off the flame. Let it sit for a few minutes.
   - Place a muslin cloth or a fine mesh strainer over a bowl and pour the curdled milk into it. The whey will separate from the curdled milk solids (paneer). Rinse the paneer under cold water to remove any traces of lemon or vinegar.
   - Gather the cloth with the paneer and squeeze out excess water. Hang it for about 30 minutes to drain out any remaining liquid.

2. **Prepare the Kalakand:**
   - Crumble the prepared paneer into a non-stick pan or a heavy-bottomed pan.
   - Add sweetened condensed milk to the pan and mix well with the crumbled paneer.
   - Cook the mixture over medium-low heat, stirring continuously to prevent it from sticking to the bottom.
   - Add cardamom powder and saffron strands (if using) to the mixture. Stir to incorporate.
   - Continue cooking until the mixture thickens and starts leaving the sides of the pan. This may take about 15-20 minutes.
   - Once the mixture reaches a thick, fudge-like consistency, switch off the flame.

3. **Set and Garnish:**
   - Transfer the cooked mixture to a greased plate or tray lined with parchment paper.
   - Spread the mixture evenly using a spatula or the back of a spoon.
   - Garnish with chopped nuts (almonds, pistachios) on top and press them lightly into the mixture.

4. **Chill and Serve:**
   - Allow the Kalakand to cool down to room temperature.
   - Refrigerate the Kalakand for at least 2-3 hours to set completely.
   - Once set, cut the Kalakand into squares or diamond shapes and serve.

Enjoy the creamy and decadent Kalakand as a delightful dessert or sweet treat!",Serve chilled as a sweet dessert.,No,200,45
Karela Bharta,"Bitter gourd (karela), Onions, Tomatoes, Green chilies, Spices, Oil","Karela Bharta is a traditional Indian dish made from bitter gourd (karela) that is roasted and mashed, then cooked with onions, tomatoes, and spices. Despite the bitterness of the gourd, when cooked properly, Karela Bharta can be a delicious and nutritious dish. Here's a recipe to make Karela Bharta:

**Ingredients:**

- 3-4 medium-sized bitter gourds (karela)
- 2 onions, finely chopped
- 2 tomatoes, finely chopped
- 2 green chilies, finely chopped
- 1 teaspoon ginger-garlic paste
- 1/2 teaspoon turmeric powder
- 1 teaspoon coriander powder
- 1/2 teaspoon cumin powder
- 1/2 teaspoon garam masala
- 1/2 teaspoon red chili powder (adjust to taste)
- Salt to taste
- 2 tablespoons oil
- Fresh coriander leaves for garnish

**Instructions:**

1. **Prepare the bitter gourd:**
   - Wash the bitter gourds thoroughly under running water.
   - Trim the ends and scrape the outer skin lightly using a knife or a peeler. You can also lightly scrape off the rough surface using a spoon.
   - Cut the bitter gourds into thin slices. Remove the seeds and discard them.

2. **Roast the bitter gourd:**
   - Heat 1 tablespoon of oil in a pan or kadhai over medium heat.
   - Add the sliced bitter gourd to the pan and roast them until they turn golden brown and crispy. This may take about 10-15 minutes. Stir occasionally to ensure even roasting.
   - Once roasted, remove the bitter gourd slices from the pan and set them aside.

3. **Prepare the Bharta:**
   - In the same pan, add the remaining oil. Once hot, add chopped onions and green chilies. Saute until the onions turn translucent.
   - Add ginger-garlic paste and saute for another minute until the raw smell disappears.
   - Add chopped tomatoes and cook until they turn soft and mushy.
   - Add turmeric powder, coriander powder, cumin powder, garam masala, red chili powder, and salt. Mix well and cook for a couple of minutes until the spices are well combined and aromatic.
   - Now, add the roasted bitter gourd slices to the pan and mix them with the masala. Cook for another 5-7 minutes, stirring occasionally, allowing the flavors to meld together.

4. **Mash the mixture:**
   - Using a potato masher or the back of a spoon, mash the mixture in the pan to break down the bitter gourd slices and incorporate them with the masala. You can mash them to your desired consistency, either coarse or smooth.

5. **Serve:**
   - Garnish the Karela Bharta with freshly chopped coriander leaves.
   - Serve hot with roti, paratha, or rice as a delicious and nutritious side dish.

Enjoy the unique flavors of Karela Bharta as a part of your meal!",Serve as a side dish with rotis or rice.,Yes,120,30
Kofta,"Paneer, Potatoes, All-purpose flour, Spices, Oil for frying","Kofta is a popular dish in Indian cuisine, consisting of spiced meatballs or vegetable balls that are typically cooked in a flavorful gravy. Here's a recipe for Malai Kofta, a vegetarian version made with paneer (Indian cottage cheese) and potatoes, served in a creamy tomato-based gravy:

### Ingredients:

**For the Kofta:**
- 200 grams paneer, grated
- 2 medium-sized potatoes, boiled and mashed
- 2 tablespoons cornflour or all-purpose flour
- 1 teaspoon ginger-garlic paste
- 1 green chili, finely chopped
- 1/4 teaspoon garam masala
- Salt to taste
- Oil for frying

**For the Gravy:**
- 2 tablespoons ghee or oil
- 1 onion, finely chopped
- 2 tomatoes, pureed
- 1 tablespoon ginger-garlic paste
- 1 teaspoon red chili powder
- 1/2 teaspoon turmeric powder
- 1 teaspoon coriander powder
- 1/2 teaspoon cumin powder
- 1/2 teaspoon garam masala
- 1/2 cup heavy cream or malai
- Salt to taste
- Chopped coriander leaves for garnish

### Instructions:

**For the Kofta:**
1. In a mixing bowl, combine grated paneer, mashed potatoes, cornflour or all-purpose flour, ginger-garlic paste, chopped green chili, garam masala, and salt.
2. Mix everything together to form a smooth dough-like mixture. If the mixture feels too dry, you can add a little milk or cream to bind it.
3. Divide the mixture into equal-sized portions and shape them into round balls or oval-shaped koftas.
4. Heat oil in a deep frying pan or kadai over medium heat. Once the oil is hot, fry the koftas in batches until they turn golden brown and crispy on all sides.
5. Remove the fried koftas from the oil and drain excess oil on paper towels. Set aside.

**For the Gravy:**
1. Heat ghee or oil in a separate pan over medium heat. Add chopped onions and sauté until they turn golden brown.
2. Add ginger-garlic paste and sauté for a couple of minutes until the raw smell disappears.
3. Add tomato puree to the pan and cook until the oil starts to separate from the masala.
4. Add red chili powder, turmeric powder, coriander powder, cumin powder, garam masala, and salt. Mix well and cook for a few minutes.
5. Gradually add heavy cream or malai to the pan, stirring continuously to combine all the ingredients.
6. Cook the gravy for another 5-7 minutes until it thickens and reaches a smooth consistency.

**Assemble the Dish:**
1. Just before serving, place the fried koftas in a serving dish.
2. Pour the hot gravy over the koftas, ensuring they are fully coated.
3. Garnish with chopped coriander leaves.

Serve Malai Kofta hot with rice, naan, or roti for a delicious and satisfying meal!",Serve with curry or gravy as a side dish.,Yes,200,45
Kuzhi Paniyaram,"Rice flour, Urad dal, Fenugreek seeds, Yogurt, Onions, Green chilies, Mustard seeds, Curry leaves, Oil","Kuzhi Paniyaram is a traditional South Indian snack made from fermented rice and urad dal batter, similar to idli or dosa batter. These round, fluffy dumplings are typically cooked in a special pan with multiple round molds called a ""paniyaram pan."" Here's a recipe to make Kuzhi Paniyaram at home:

### Ingredients:

**For the Batter:**
- 1 cup raw rice
- 1/2 cup urad dal (split black gram)
- 1/4 teaspoon fenugreek seeds (methi seeds)
- Salt to taste
- Water, as needed

**For Tempering:**
- 1 tablespoon oil
- 1 teaspoon mustard seeds
- 1 teaspoon cumin seeds
- 1/2 cup finely chopped onion
- 1/4 cup finely chopped green bell pepper (capsicum)
- 1/4 cup finely chopped carrot
- 1/4 cup finely chopped coriander leaves (cilantro)
- 2-3 green chilies, finely chopped
- A pinch of asafoetida (hing)
- Salt to taste

### Instructions:

**1. Prepare the Batter:**
1. Rinse the raw rice, urad dal, and fenugreek seeds separately under cold water.
2. Soak the raw rice and fenugreek seeds together in water for about 4-6 hours.
3. Soak the urad dal in water separately for about 4-6 hours.
4. Drain the soaked rice and fenugreek seeds, and grind them into a smooth batter using a wet grinder or blender. Add water as needed to achieve a thick, smooth consistency.
5. Drain the soaked urad dal and grind it separately into a smooth batter using minimal water. The urad dal batter should be fluffy and airy.
6. Mix the ground rice batter and urad dal batter together in a large bowl. Add salt to taste and mix well. Allow the batter to ferment overnight or for at least 8-10 hours in a warm place.

**2. Prepare the Tempering:**
1. Heat oil in a pan over medium heat. Add mustard seeds and let them splutter.
2. Add cumin seeds and sauté for a few seconds until they start to crackle.
3. Add finely chopped onion, green chilies, and asafoetida (hing). Sauté until the onions turn translucent.
4. Add finely chopped bell pepper (capsicum) and carrot. Cook for a few minutes until the vegetables are slightly softened. Remove from heat and let the tempering mixture cool down.

**3. Make the Kuzhi Paniyaram:**
1. Once the batter is fermented, add the prepared tempering mixture and finely chopped coriander leaves to the batter. Mix well to combine.
2. Heat a Kuzhi Paniyaram pan over medium heat and grease the molds with a little oil.
3. Pour spoonfuls of the batter into each mold, filling them up to about three-quarters full.
4. Cover the pan with a lid and let the paniyarams cook for a few minutes until the bottom side turns golden brown and crispy.
5. Flip the paniyarams using a skewer or spoon and cook the other side until golden brown and cooked through.
6. Remove the cooked paniyarams from the pan and repeat the process with the remaining batter.

**4. Serve:**
1. Serve the hot and crispy Kuzhi Paniyarams with coconut chutney, tomato chutney, or any other chutney of your choice.
2. Enjoy these delicious and fluffy snacks as a breakfast dish or as a snack any time of the day!

Note: You can also add grated coconut, grated ginger, or any other vegetables of your choice to the batter for added flavor and texture. Adjust the amount of green chilies according to your spice preference.",Serve hot with chutney or sambar.,Yes,150,30
Lassi,"Yogurt, Water, Sugar, Cardamom powder, Rose water, Nuts","Lassi is a popular and refreshing yogurt-based drink from the Indian subcontinent. It comes in various flavors, but the most common ones are sweet lassi and salted lassi. Here's how you can make both versions at home:

**Sweet Lassi:**

**Ingredients:**
- 1 cup plain yogurt (preferably full-fat)
- 1/2 cup cold water
- 2-3 tablespoons sugar (adjust to taste)
- A pinch of cardamom powder (optional)
- Ice cubes (optional)
- Chopped nuts or saffron strands for garnish (optional)

**Instructions:**

1. **Blend the ingredients:**
   - In a blender, add plain yogurt, cold water, sugar, and cardamom powder (if using).
   - Blend everything together until smooth and frothy. If you prefer a thicker consistency, you can reduce the amount of water or add more yogurt.
   - Add ice cubes to the blender and blend again until the lassi becomes chilled and frothy.

2. **Serve:**
   - Pour the sweet lassi into serving glasses.
   - Garnish with chopped nuts or saffron strands if desired.
   - Serve immediately and enjoy the refreshing sweet lassi!

**Salted Lassi:**

**Ingredients:**
- 1 cup plain yogurt (preferably full-fat)
- 1/2 cup cold water
- 1/2 teaspoon roasted cumin powder
- 1/4 teaspoon black salt (kala namak)
- A pinch of ground black pepper
- Fresh mint leaves for garnish (optional)
- Ice cubes (optional)

**Instructions:**

1. **Blend the ingredients:**
   - In a blender, add plain yogurt, cold water, roasted cumin powder, black salt, and ground black pepper.
   - Blend everything together until smooth and well combined.
   - Add ice cubes to the blender and blend again until the lassi becomes chilled and frothy.

2. **Serve:**
   - Pour the salted lassi into serving glasses.
   - Garnish with fresh mint leaves if desired.
   - Serve immediately and enjoy the savory and refreshing salted lassi!

Feel free to adjust the sweetness or saltiness according to your taste preferences. Lassi is a versatile drink, and you can experiment with different flavors by adding fruits like mango or strawberry or herbs like mint or basil. Enjoy your homemade lassi!",Serve chilled as a refreshing drink.,No,100,45
Ledikeni,"Khoya, Paneer, All-purpose flour, Ghee, Sugar syrup, Cardamom powder, Nuts","Ledikeni is a traditional Bengali sweet delicacy, known for its soft texture and rich flavor. It is made from chhana (freshly made cottage cheese or paneer), shaped into cylindrical or oval-shaped dumplings, deep-fried until golden brown, and then soaked in sugar syrup. Here's a recipe to make Ledikeni at home:

**Ingredients:**

For the ledikeni dumplings:
- 2 cups chhana (freshly made cottage cheese or paneer)
- 2 tablespoons all-purpose flour (maida)
- 1 tablespoon semolina (sooji)
- A pinch of baking powder
- 1/2 teaspoon cardamom powder
- 2 cups ghee or oil for deep frying

For the sugar syrup:
- 2 cups sugar
- 1 1/2 cups water
- A few saffron strands (optional)
- 2-3 cardamom pods, crushed

**Instructions:**

1. **Prepare the chhana:**
   - If you're not using store-bought chhana, you can make it at home by curdling milk with lemon juice or vinegar and straining the whey using a muslin cloth. Hang the chhana in the cloth for about 1 hour to remove excess moisture.

2. **Prepare the ledikeni dough:**
   - In a mixing bowl, crumble the chhana and add all-purpose flour, semolina, baking powder, and cardamom powder.
   - Knead the mixture into a smooth dough. If the dough feels too dry, you can add a few drops of milk to bind it together.

3. **Shape the ledikeni dumplings:**
   - Pinch off small portions of the dough and roll them into cylindrical or oval-shaped dumplings, about 1 inch in length. Make sure the surface is smooth and without any cracks.

4. **Fry the ledikeni:**
   - Heat ghee or oil in a deep frying pan or kadhai over medium heat.
   - Once the ghee or oil is hot, carefully add the ledikeni dumplings, a few at a time, into the hot oil. Be cautious not to overcrowd the pan.
   - Fry the ledikeni on medium-low heat until they turn golden brown and crispy on all sides. This may take about 5-6 minutes. Stir occasionally for even frying.
   - Once fried, remove the ledikeni from the ghee or oil using a slotted spoon and drain excess oil by placing them on paper towels.

5. **Prepare the sugar syrup:**
   - In a saucepan, combine sugar and water to make the sugar syrup.
   - Bring the mixture to a boil over medium heat, stirring occasionally, until the sugar dissolves completely.
   - Add crushed cardamom pods and saffron strands (if using) to the syrup.
   - Simmer the syrup for about 5-7 minutes until it reaches a one-string consistency. To check, take a drop of syrup between your thumb and forefinger, and when you pull them apart, a single thread should form.
   - Once the syrup reaches the desired consistency, turn off the heat and keep the syrup warm.

6. **Soak the ledikeni:**
   - While the ledikeni are still warm, gently immerse them in the warm sugar syrup for about 1-2 hours, ensuring they are coated well.
   - Remove the soaked ledikeni from the syrup and transfer them to a serving plate.

7. **Serve:**
   - Serve the delicious and syrup-soaked ledikeni as a dessert, garnished with saffron strands or chopped nuts if desired.

Enjoy the heavenly sweetness of homemade ledikeni, a delightful treat for special occasions or festive celebrations!",Serve as a sweet dessert.,No,150,10
Litti Chokha,"Whole wheat flour, Sattu (roasted gram flour), Onions, Tomatoes, Green chilies, Spices, Ghee","Litti Chokha is a traditional dish from the Indian state of Bihar, consisting of roasted wheat balls filled with spiced chickpea flour, served with a side of mashed potatoes, roasted eggplant, and tomato relish. Here's a recipe to make Litti Chokha at home:

### Ingredients:

**For Litti:**
- 2 cups whole wheat flour (atta)
- 1/2 cup ghee or oil
- Water, as needed
- Salt to taste

**For Filling:**
- 1 cup sattu (roasted chickpea flour)
- 1 onion, finely chopped
- 2-3 green chilies, finely chopped
- 2 tablespoons chopped coriander leaves (cilantro)
- 1 tablespoon lemon juice
- 1 teaspoon ginger-garlic paste
- 1/2 teaspoon ajwain (carom seeds)
- 1/2 teaspoon kalonji (nigella seeds)
- 1/2 teaspoon turmeric powder
- Salt to taste
- Water, as needed

**For Chokha:**
- 2-3 medium-sized potatoes, boiled and mashed
- 1 large eggplant (baingan), roasted and mashed
- 2-3 tomatoes, roasted and mashed
- 1 onion, finely chopped
- 2-3 green chilies, finely chopped
- 2 tablespoons chopped coriander leaves (cilantro)
- 1 tablespoon mustard oil
- Salt to taste

### Instructions:

**For Litti:**
1. In a mixing bowl, combine whole wheat flour, ghee or oil, and salt.
2. Gradually add water and knead the dough until smooth and firm. Cover the dough and let it rest for about 30 minutes.
3. Meanwhile, prepare the filling.

**For Filling:**
1. In a bowl, mix together sattu, chopped onion, green chilies, coriander leaves, lemon juice, ginger-garlic paste, ajwain, kalonji, turmeric powder, and salt.
2. Add a little water and mix well to form a stuffing-like consistency. Set aside.

**For Chokha:**
1. Roast the eggplant, tomatoes, and potatoes over an open flame or in the oven until charred and cooked through.
2. Peel the roasted eggplant and mash it well. Similarly, mash the roasted tomatoes and boiled potatoes.
3. In a mixing bowl, combine mashed eggplant, tomatoes, and potatoes.
4. Add chopped onion, green chilies, coriander leaves, mustard oil, and salt. Mix well to combine. Set aside.

**Assembly:**
1. Preheat the oven to 180°C (350°F).
2. Divide the dough into small lemon-sized balls.
3. Flatten each ball with your palms and place a spoonful of the prepared filling in the center.
4. Bring the edges together to seal and shape them into round balls again.
5. Place the stuffed balls on a baking tray lined with parchment paper.
6. Bake the littis in the preheated oven for about 25-30 minutes or until golden brown and cooked through.
7. Remove from the oven and serve hot with chokha.

**Serving:**
1. Serve Litti with a side of Chokha.
2. Enjoy the delicious and flavorful Litti Chokha as a hearty meal or snack!

You can also cook the littis over a charcoal flame or on a stovetop griddle until they are evenly cooked and crispy on the outside.",Serve as a traditional Bihari dish.,Yes,200,45
Lyangcha,"Khoya, Sugar, Cardamom powder, Ghee, Oil for frying","Lyangcha is a popular sweet snack from the Indian state of Manipur. It is made from deep-fried dough, which is then soaked in sugar syrup, resulting in a sweet and indulgent treat. Here's a recipe to make Lyangcha at home:

### Ingredients:

**For the Dough:**
- 1 cup all-purpose flour (maida)
- 1 tablespoon ghee (clarified butter)
- A pinch of salt
- Water, as needed

**For the Sugar Syrup:**
- 1 cup sugar
- 1/2 cup water
- A few drops of lemon juice (optional)
- A pinch of cardamom powder (optional)

**For Frying:**
- Oil for deep frying

### Instructions:

**1. Prepare the Dough:**
1. In a mixing bowl, combine all-purpose flour, ghee, and a pinch of salt.
2. Gradually add water and knead the mixture into a smooth and firm dough.
3. Cover the dough with a damp cloth and let it rest for about 15-20 minutes.

**2. Shape the Lyangcha:**
1. After resting, divide the dough into small lemon-sized balls.
2. Roll each ball between your palms to make smooth balls.
3. Flatten each ball slightly to form a disc shape.
4. Using your fingers, pinch and shape the disc into a cylindrical or elongated shape, resembling a finger.

**3. Fry the Lyangcha:**
1. Heat oil in a deep frying pan or kadai over medium heat.
2. Once the oil is hot, carefully slide the shaped Lyangcha into the hot oil, a few at a time, without overcrowding the pan.
3. Fry the Lyangcha on medium heat until they turn golden brown and crispy on all sides.
4. Remove the fried Lyangcha from the oil using a slotted spoon and drain excess oil on paper towels. Set aside.

**4. Make the Sugar Syrup:**
1. In a separate saucepan, combine sugar and water to make the sugar syrup.
2. Heat the mixture over medium heat until the sugar dissolves completely.
3. Add a few drops of lemon juice to prevent crystallization, if desired.
4. Optional: Add a pinch of cardamom powder for flavor.
5. Let the syrup simmer for a few minutes until it reaches a one-string consistency.

**5. Soak the Lyangcha:**
1. Once the Lyangcha are fried and the sugar syrup is ready, dip the fried Lyangcha into the warm sugar syrup.
2. Allow the Lyangcha to soak in the syrup for about 5-10 minutes, ensuring they are fully coated.
3. Remove the soaked Lyangcha from the syrup and place them on a serving plate.

**6. Serve:**
1. Serve Lyangcha warm or at room temperature.
2. Enjoy the sweet and syrupy Lyangcha as a delightful dessert or snack!

Lyangcha is best consumed fresh, but it can be stored in an airtight container for a few days. If stored for longer periods, it may lose its crispiness.",Serve as a sweet dessert.,No,150,45
Maach Jhol,"Fish, Mustard oil, Onions, Tomatoes, Green chilies, Ginger-garlic paste, Turmeric powder, Spices, Coriander leaves","Maach Jhol is a traditional Bengali fish curry known for its light and flavorful broth. It typically features fish cooked in a gravy made from onions, tomatoes, ginger, garlic, and a blend of spices. Here's a recipe to make Maach Jhol at home:

**Ingredients:**

- 500 grams fish (rohu, katla, or any other freshwater fish), cleaned and cut into pieces
- 2 medium-sized onions, finely chopped
- 2 tomatoes, finely chopped
- 2-3 green chilies, slit lengthwise
- 1 tablespoon ginger paste
- 1 tablespoon garlic paste
- 1 teaspoon turmeric powder
- 1 teaspoon cumin powder
- 1 teaspoon coriander powder
- 1/2 teaspoon red chili powder (adjust to taste)
- Salt to taste
- 2 tablespoons mustard oil or any cooking oil
- Fresh coriander leaves for garnish

**Instructions:**

1. **Marinate the fish:**
   - In a bowl, combine the fish pieces with half teaspoon of turmeric powder and a pinch of salt. Mix well and let it marinate for about 15-20 minutes.

2. **Prepare the gravy:**
   - Heat mustard oil in a deep pan or kadhai over medium heat.
   - Once the oil is hot, add the chopped onions and sauté until they turn golden brown.
   - Add ginger paste and garlic paste to the pan. Sauté for a minute until the raw smell disappears.
   - Add the chopped tomatoes and green chilies to the pan. Cook until the tomatoes are soft and mushy.

3. **Add spices:**
   - Add turmeric powder, cumin powder, coriander powder, red chili powder, and salt to the pan. Mix well and cook for another minute to allow the spices to blend.

4. **Cook the fish:**
   - Carefully add the marinated fish pieces to the pan, ensuring they are submerged in the gravy.
   - Cover the pan and let the fish cook on medium-low heat for about 8-10 minutes or until the fish is cooked through. Be careful not to overcook the fish as it can become tough.

5. **Garnish and serve:**
   - Once the fish is cooked, garnish with freshly chopped coriander leaves.
   - Serve hot with steamed rice or your choice of bread.

Enjoy the flavorful and comforting Maach Jhol as a part of your Bengali meal! Adjust the spice levels according to your preference.",Serve hot with steamed rice.,Yes,250,45
Makki Di Roti Sarson Da Saag,"Maize flour (makki atta), Mustard greens, Spinach, Onions, Green chilies, Ginger, Ghee","Makki di roti and Sarson da Saag is a traditional Punjabi dish that's loved for its rich, hearty flavors. Here's how you can make it at home:

### For Makki di Roti (Cornmeal Flatbread):

#### Ingredients:
- 2 cups makki ka atta (cornmeal)
- Warm water, as needed
- Salt to taste
- Ghee or oil, for cooking

#### Instructions:
1. In a mixing bowl, combine makki ka atta (cornmeal) and salt.
2. Gradually add warm water and knead the mixture into a soft dough. The dough should be pliable but not too sticky.
3. Divide the dough into small balls.
4. Place a ball of dough on a clean, flat surface dusted with cornmeal.
5. Using your fingers, flatten the dough ball into a round roti, about 1/4 inch thick.
6. Heat a tawa or griddle over medium heat.
7. Carefully transfer the rolled-out roti onto the hot tawa.
8. Cook the roti on one side until small bubbles start to form, then flip it over.
9. Drizzle some ghee or oil around the edges of the roti.
10. Cook until both sides are golden brown and crispy.
11. Repeat the process with the remaining dough balls.

### For Sarson da Saag (Mustard Greens Curry):

#### Ingredients:
- 500 grams sarson da saag (mustard greens), washed and chopped
- 250 grams spinach, washed and chopped
- 2-3 green chilies, chopped
- 1 onion, chopped
- 2 tomatoes, chopped
- 4-5 garlic cloves, minced
- 1-inch piece of ginger, grated
- 1 tablespoon ghee or oil
- 1 teaspoon cumin seeds
- 1 teaspoon turmeric powder
- 1 teaspoon red chili powder
- Salt to taste
- Water, as needed
- Fresh cream (optional), for garnish

#### Instructions:
1. In a pressure cooker or pot, add sarson da saag, spinach, green chilies, onion, tomatoes, garlic, ginger, turmeric powder, red chili powder, and salt.
2. Add a little water and pressure cook for about 3-4 whistles or until the greens are completely cooked and mushy.
3. Once cooked, blend the mixture using an immersion blender or transfer it to a blender and blend until smooth.
4. In a separate pan, heat ghee or oil over medium heat.
5. Add cumin seeds and let them splutter.
6. Pour the blended greens mixture into the pan and mix well.
7. Cook for another 10-15 minutes, stirring occasionally, until the mixture thickens and the flavors meld together.
8. Adjust the seasoning if needed.
9. Serve hot with makki di roti.
10. Optionally, garnish with a dollop of fresh cream before serving.

Enjoy this delicious and comforting Punjabi delicacy of Makki di Roti and Sarson da Saag!",Serve as a traditional Punjabi meal.,Yes,200,45
Malapua,"All-purpose flour, Khoya, Milk, Sugar, Fennel seeds, Cardamom powder, Ghee, Oil for frying","Malpua is a traditional Indian sweet dish, particularly popular in the eastern parts of India, especially during festivals like Holi and Diwali. It is essentially a fried pancake made from a batter of flour, milk, sugar, and flavored with cardamom. Here's a recipe to make Malpua at home:

**Ingredients:**

For the batter:
- 1 cup all-purpose flour (maida)
- 1/2 cup semolina (sooji)
- 1 cup milk
- 1/4 cup sugar
- 1/2 teaspoon fennel seeds (saunf)
- 1/4 teaspoon cardamom powder
- A pinch of baking powder
- Ghee or oil for frying

For the sugar syrup:
- 1 cup sugar
- 1/2 cup water
- A few saffron strands (optional)
- 1/4 teaspoon cardamom powder
- 1 tablespoon rose water or kewra water (optional)

**Instructions:**

1. **Prepare the sugar syrup:**
   - In a saucepan, combine sugar and water to make the sugar syrup.
   - Heat the mixture over medium heat, stirring occasionally, until the sugar dissolves completely.
   - Add saffron strands (if using) and cardamom powder to the syrup.
   - Simmer the syrup for about 5-7 minutes until it reaches a one-string consistency. To check, take a drop of syrup between your thumb and forefinger, and when you pull them apart, a single thread should form.
   - Once the syrup reaches the desired consistency, turn off the heat and keep the syrup warm. Add rose water or kewra water if using, and mix well.

2. **Prepare the batter:**
   - In a mixing bowl, combine all-purpose flour, semolina, sugar, fennel seeds, cardamom powder, and baking powder.
   - Gradually add milk while whisking continuously to make a smooth batter. The consistency should be similar to pancake batter.

3. **Fry the Malpua:**
   - Heat ghee or oil in a shallow frying pan or tawa over medium heat.
   - Once the ghee or oil is hot, pour a ladleful of batter into the pan to make a small pancake, about 3-4 inches in diameter.
   - Fry the Malpua until it turns golden brown and crispy on both sides, flipping it once to ensure even cooking. This may take about 2-3 minutes per side.
   - Once fried, remove the Malpua from the pan and drain excess oil by placing it on paper towels.

4. **Soak the Malpua:**
   - While the Malpua is still warm, immerse it in the warm sugar syrup for a few seconds, ensuring it is coated well.
   - Remove the soaked Malpua from the syrup and transfer it to a serving plate.

5. **Serve:**
   - Serve the delicious and syrup-soaked Malpua warm, garnished with chopped nuts or a sprinkle of cardamom powder if desired.

Enjoy the irresistible sweetness of homemade Malpua as a delightful dessert during festive occasions or special celebrations!","Serve as a sweet dessert, especially during festivals.",No,200,45
Misi Roti,"Whole wheat flour, Gram flour (besan), Onions, Green chilies, Spices, Ghee","Misi Roti is a popular flatbread from the cuisine of Rajasthan, India. It's made using a combination of whole wheat flour (atta) and gram flour (besan), which gives it a unique texture and flavor. Here's how you can make Misi Roti at home:

### Ingredients:
- 1 cup whole wheat flour (atta)
- 1/2 cup gram flour (besan)
- 1/2 teaspoon carom seeds (ajwain)
- 1/2 teaspoon cumin seeds
- 1/2 teaspoon red chili powder
- 1/2 teaspoon turmeric powder
- Salt to taste
- Water, as needed
- Ghee or oil, for cooking

### Instructions:

1. In a mixing bowl, combine whole wheat flour, gram flour, carom seeds, cumin seeds, red chili powder, turmeric powder, and salt.

2. Gradually add water to the flour mixture and knead it into a smooth and soft dough. The dough should be pliable and not too sticky. If it's too dry, add a little more water, and if it's too wet, add a little more flour.

3. Divide the dough into equal-sized balls. Roll each ball between your palms to make smooth balls.

4. Take a dough ball and flatten it slightly with your hands. Place it on a clean, flat surface dusted with flour.

5. Using a rolling pin, roll out the dough ball into a thin circle, about 6-7 inches in diameter. Dust with flour as needed to prevent sticking.

6. Heat a tawa or griddle over medium heat. Once hot, carefully transfer the rolled-out roti onto the tawa.

7. Cook the roti on one side until small bubbles start to form, then flip it over.

8. Drizzle some ghee or oil around the edges of the roti and cook until both sides are golden brown and crispy.

9. Remove the cooked roti from the tawa and repeat the process with the remaining dough balls.

10. Serve hot Misi Roti with your favorite curry, chutney, or pickle.

Enjoy the delicious and flavorful Misi Roti as a part of your meal!",Serve hot with vegetables or curries.,Yes,150,30
